,date,temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
0,2016-01-01,5.41,0.0,0.0,57.29,34.5,9.71,77.75,12.48,273.33
1,2016-01-02,2.39,0.0,0.0,10.25,9.92,1.42,1.5,13.38,266.42
2,2016-01-03,3.01,0.0,0.0,10.29,11.29,0.08,0.0,12.75,244.38
3,2016-01-04,0.1,0.0,0.0,14.75,11.83,6.75,0.0,16.85,313.54
4,2016-01-05,-6.78,0.0,0.0,0.67,0.75,0.0,0.0,17.65,304.25
5,2016-01-06,-2.28,0.0,0.0,0.0,0.0,0.0,0.0,7.0,239.12
6,2016-01-07,0.52,0.0,0.0,37.38,32.17,0.0,27.83,4.45,238.71
7,2016-01-08,2.37,0.0,0.0,51.71,48.29,0.0,32.38,8.78,62.67
8,2016-01-09,5.48,0.0,0.0,92.0,79.25,66.54,44.25,10.54,53.92
9,2016-01-10,10.92,1.3,1.3,91.25,82.67,58.21,60.88,18.67,127.42
10,2016-01-11,2.77,0.0,0.0,10.62,11.5,0.25,0.0,20.94,266.29
11,2016-01-12,-0.54,0.0,0.0,27.67,0.83,40.96,7.58,11.28,206.88
12,2016-01-13,-1.94,0.0,0.0,13.04,9.21,7.38,1.08,22.73,270.67
13,2016-01-14,-1.9,0.0,0.0,53.17,27.08,53.83,15.0,13.45,249.96
14,2016-01-15,2.85,0.0,0.0,35.92,5.04,17.04,70.33,5.5,137.5
15,2016-01-16,6.69,0.35,0.35,84.92,52.75,64.25,47.29,10.85,202.92
16,2016-01-17,3.0,0.07,0.0,78.67,35.54,51.71,58.29,9.53,238.17
17,2016-01-18,-2.5,0.01,0.0,23.54,10.25,23.83,0.0,19.26,283.12
18,2016-01-19,-5.46,0.0,0.0,11.71,12.67,0.54,0.0,24.7,281.21
19,2016-01-20,-1.18,0.0,0.0,23.83,2.21,19.58,33.46,13.81,295.21
20,2016-01-21,-0.92,0.0,0.0,34.42,4.58,39.75,21.42,10.32,317.0
21,2016-01-22,-3.64,0.0,0.0,29.21,0.17,26.04,44.92,10.72,225.88
22,2016-01-23,-2.78,1.67,0.0,95.71,29.25,99.29,92.42,26.02,33.83
23,2016-01-24,-3.21,0.22,0.0,33.46,1.62,36.96,32.67,19.56,276.42
24,2016-01-25,-3.01,0.0,0.0,22.75,0.12,17.83,39.79,6.53,267.21
25,2016-01-26,0.69,0.0,0.0,41.75,3.17,24.92,80.17,11.16,204.83
26,2016-01-27,4.92,0.01,0.01,54.79,20.29,50.46,60.12,11.1,272.29
27,2016-01-28,-2.11,0.0,0.0,18.62,12.0,0.0,25.92,5.56,261.08
28,2016-01-29,0.22,0.01,0.01,39.12,3.04,38.12,44.88,9.35,271.08
29,2016-01-30,-0.53,0.0,0.0,5.96,0.21,3.92,11.08,11.57,259.79
30,2016-01-31,3.12,0.0,0.0,24.46,0.08,10.29,60.75,10.34,213.92
31,2016-02-01,6.6,0.0,0.0,41.0,3.67,25.42,74.96,11.18,248.0
32,2016-02-02,4.43,0.0,0.0,8.42,0.0,10.04,8.04,7.72,312.54
33,2016-02-03,6.6,0.55,0.55,70.08,52.0,59.08,92.96,13.88,158.62
34,2016-02-04,10.62,0.07,0.07,93.46,69.62,55.71,99.08,11.64,254.88
35,2016-02-05,3.17,0.7,0.16,76.08,12.29,77.42,73.12,16.45,212.62
